"Deployment #","Date","Time","OctoID","Bottle ID","Event_type","Species","Behavior","Notes","1st Analyst ID","2nd Analyst ID","3rd Analyst ID","4th Analyst ID"
2,"7/9/2021","12:06:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/9/2021","12:09:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/9/2021","13:48:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival","baby","Jesse",NA,NA,NA
2,"7/9/2021","13:51:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/9/2021","14:18:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/9/2021","14:21:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/9/2021","17:09:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/9/2021","17:12:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure","17:30 SUNSET","Jesse",NA,NA,NA
2,"7/9/2021","19:38:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/9/2021","19:39:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/9/2021","19:40:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/9/2021","19:41:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/9/2021","21:01:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/9/2021","21:02:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/9/2021","21:03:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/9/2021","21:05:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/9/2021","21:37:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/9/2021","21:38:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/9/2021","21:43:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/9/2021","21:51:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/10/2021","1:50:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/10/2021","1:54:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/10/2021","3:12:00",NA,"BID1","non-resident non-interaction","quillback_rockfish","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/10/2021","3:12:47",NA,"BID1","non-resident non-interaction","quillback_rockfish","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/10/2021","3:27:00",NA,"BID1","non-resident non-interaction","lingcod","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/10/2021","3:28:00",NA,"BID1","non-resident non-interaction","lingcod","frame_departure","4:10 Sunrise","Jesse",NA,NA,NA
2,"7/10/2021","5:07:44",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/10/2021","5:08:24",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/10/2021","6:09:46",NA,"BID1","non-resident non-interaction","dungeness crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/10/2021","6:11:00",NA,"BID1","non-resident non-interaction","dungeness crab","enter_bottle",NA,"Jesse",NA,NA,NA
2,"7/10/2021","6:30:00",NA,"BID1","non-resident non-interaction","dungeness crab","frame_departure","bottle rolled away with crab inside it, found the bottle the next day 20 ft away","Jesse",NA,NA,NA
2,"7/10/2021","6:30:00",NA,NA,NA,NA,"deploy_end","deployment keeps going but stop recording data because there is no bottle",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2021/07/11","11:56:21",NA,NA,NA,NA,"deploy_start",NA,NA,NA,NA,NA
3,"2021/07/11","11:56:21","A1",NA,"resident non-interaction","octopus_rubescens","enter_bottle","START OF DEPLOYMENT 3","Seals",NA,NA,NA
3,"2021/07/11","11:56:21","A1",NA,"resident non-interaction","octopus_rubescens","frame_arrival","START OF DEPLOYMENT 3","Seals",NA,NA,NA
3,"2021/07/11","11:56:21",NA,NA,"non-resident non-interaction","dungeness crab","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","12:04:45",NA,NA,"non-resident non-interaction","dungeness crab","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","12:25:44",NA,NA,"non-resident non-interaction","red rock crab","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","12:26:04",NA,NA,"non-resident non-interaction","red rock crab","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","12:48:27",NA,NA,"non-resident non-interaction","flatfish","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","12:49:01",NA,NA,"non-resident non-interaction","flatfish","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","12:52:39",NA,NA,"non-resident non-interaction","red rock crab","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","12:52:46",NA,NA,"non-resident non-interaction","red rock crab","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","13:06:58","A1","BID2","resident non-interaction","octopus_rubescens","periscope","Gets halfway out of bottle to look arond; stares down flatfish for a bit","Seals",NA,NA,NA
3,"2021/07/11","13:11:09",NA,NA,"non-resident non-interaction","flatfish","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","13:17:49","A1","BID2","resident non-interaction","octopus_rubescens","exit_bottle",NA,"Seals",NA,NA,NA
3,"2021/07/11","13:17:56","A1",NA,"resident non-interaction","octopus_rubescens","frame_departure","Just left screen, quickly swam from bottle after periscope","Seals",NA,NA,NA
3,"2021/07/11","13:23:16",NA,NA,"non-resident non-interaction","flatfish","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","13:32:09",NA,NA,"non-resident non-interaction","red rock crab","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","13:32:29",NA,NA,"non-resident non-interaction","red rock crab","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","14:00:09",NA,NA,"non-resident non-interaction","flatfish","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","14:00:29",NA,NA,"non-resident non-interaction","flatfish","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","14:33:13","Un Oc 2",NA,"non-resident non-interaction","octopus_rubescens","frame_arrival","baby octo","Seals",NA,NA,NA
3,"2021/07/11","14:34:58","Un Oc 2",NA,"non-resident non-interaction","octopus_rubescens","touch_uninhabited_bottle","sits on a shell and spreads tentacles far out","Seals",NA,NA,NA
3,"2021/07/11","14:35:04","Un Oc 2",NA,"non-resident non-interaction","octopus_rubescens","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","14:38:00",NA,NA,"non-resident non-interaction","red rock crab","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","14:38:20",NA,NA,"non-resident non-interaction","red rock crab","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","15:19:21",NA,NA,"non-resident non-interaction","wolf eel","frame_arrival","Was very fast and has a cool pattern :)","Seals",NA,NA,NA
